date,pcTime,msFromStart,arduinoNumber,spoutNumber,licksCum,eventsCum,rewardsCum,randomSpout
20210504,115439,220908,1,0,1,0,0,0
20210504,115439,221532,1,0,2,0,0,0
20210504,115440,222332,1,0,3,0,0,0
20210504,115441,223063,1,0,4,0,0,0
20210504,115442,224101,1,0,5,0,0,0
20210504,115443,224903,1,0,5,1,1,0
20210504,115446,228233,1,2,1,0,0,0
20210504,115446,228700,1,2,2,0,0,0
20210504,115447,229118,1,2,3,0,0,0
20210504,115447,229544,1,2,4,0,0,0
20210504,115448,229934,1,2,5,0,0,0
20210504,115449,230744,1,2,5,1,1,0
20210504,115457,239467,0,0,1,0,0,0
20210504,115458,239951,0,0,2,0,0,0
20210504,115458,240383,0,0,3,0,0,0
20210504,115459,240819,0,0,4,0,0,0
20210504,115459,241246,0,0,5,0,0,0
20210504,115500,242051,0,0,5,1,1,0
20210504,115503,244805,0,2,1,0,0,0
20210504,115503,245261,0,2,2,0,0,0
20210504,115503,245679,0,2,3,0,0,0
20210504,115504,246141,0,2,4,0,0,0
20210504,115504,246572,0,2,5,0,0,0
20210504,115505,247378,0,2,5,1,1,0
20210504,115511,253332,1,0,6,1,1,0
20210504,115512,253774,1,0,7,1,1,0
20210504,115512,254148,1,0,8,1,1,0
20210504,115512,254582,1,0,9,1,1,0
20210504,115513,255032,1,0,10,1,1,0
20210504,115514,255831,1,0,10,2,2,0
20210504,115516,258298,1,2,6,1,1,0
20210504,115517,258706,1,2,7,1,1,0
20210504,115517,259074,1,2,8,1,1,0
20210504,115517,259432,1,2,9,1,1,0
20210504,115518,259815,1,2,10,1,1,0
20210504,115518,260623,1,2,10,2,2,0
20210504,115522,264511,0,0,6,1,1,0
20210504,115523,264863,0,0,7,1,1,0
20210504,115523,265132,0,0,8,1,1,0
20210504,115523,265457,0,0,9,1,1,0
20210504,115524,265793,0,0,10,1,1,0
20210504,115524,266600,0,0,10,2,2,0
20210504,115527,269307,0,2,6,1,1,0
20210504,115527,269700,0,2,7,1,1,0
20210504,115528,270028,0,2,8,1,1,0
20210504,115528,270380,0,2,9,1,1,0
20210504,115529,270715,0,2,10,1,1,0
20210504,115529,271516,0,2,10,2,2,0
20210504,115540,282100,1,2,11,2,2,0
20210504,115540,282521,1,2,12,2,2,0
20210504,115541,282954,1,2,13,2,2,0
20210504,115541,283354,1,2,14,2,2,0
20210504,115542,283744,1,2,15,2,2,0
20210504,115542,284554,1,2,15,3,3,0
