group,delta_baseline,spout_type,spout_position
treatment,-594.8393246187363,fixed,right
treatment,-1552.8393246187363,variable,left
treatment,-726.8393246187363,fixed,left
treatment,-1156.8393246187363,variable,right
treatment,-701.8393246187363,fixed,right
treatment,-1296.8393246187363,variable,left
treatment,-922.8393246187363,variable,right
treatment,-892.8393246187363,fixed,left
treatment,-1317.8393246187363,variable,left
treatment,-979.8393246187363,fixed,right
treatment,-1031.8393246187363,fixed,left
treatment,-810.8393246187363,variable,right
treatment,-1233.8393246187363,variable,left
treatment,-428.8393246187363,fixed,right
treatment,-1025.8393246187363,fixed,left
treatment,-1201.8393246187363,variable,right
treatment,-1497.8393246187363,variable,left
treatment,296.1606753812637,fixed,right
treatment,-660.8393246187363,variable,right
treatment,-1036.8393246187363,fixed,left
treatment,-403.8393246187363,fixed,right
treatment,-1311.8393246187363,variable,left
treatment,-1109.8393246187363,fixed,left
treatment,-1069.8393246187363,variable,right
treatment,-1380.8393246187363,variable,left
treatment,-812.8393246187363,fixed,right
treatment,-1053.8393246187363,variable,right
treatment,-779.8393246187363,fixed,left
treatment,-724.8393246187363,fixed,right
treatment,-1275.8393246187363,variable,left
treatment,-911.8393246187363,fixed,left
treatment,-663.8393246187363,variable,right
treatment,-57.61687459964014,fixed,left
treatment,-659.6168745996401,variable,right
treatment,-657.6168745996401,fixed,left
treatment,-1262.6168745996401,variable,right
treatment,-875.6168745996401,variable,left
treatment,-834.6168745996401,fixed,right
treatment,-1095.6168745996401,variable,right
treatment,-399.61687459964014,fixed,left
treatment,-534.6168745996401,fixed,left
treatment,-1275.6168745996401,variable,right
treatment,-327.61687459964014,fixed,left
treatment,-1426.6168745996401,variable,right
treatment,-95.61687459964014,variable,left
treatment,-898.6168745996401,fixed,right
treatment,-490.61687459964014,fixed,left
treatment,-1341.6168745996401,variable,right
treatment,-740.6168745996401,fixed,right
treatment,-1209.6168745996401,variable,left
treatment,-1283.6168745996401,variable,right
treatment,-674.6168745996401,fixed,left
treatment,-1329.6168745996401,variable,left
treatment,-260.61687459964014,fixed,right
treatment,-913.6168745996401,fixed,left
treatment,-977.6168745996401,variable,right
treatment,-717.6168745996401,fixed,right
treatment,-1060.6168745996401,variable,left
treatment,-233.61687459964014,fixed,left
treatment,-991.6168745996401,variable,right
treatment,-892.3888317150655,variable,right
treatment,-406.3888317150655,fixed,left
treatment,-863.3888317150655,fixed,right
treatment,-429.3888317150655,variable,left
treatment,-864.3888317150655,variable,right
treatment,-663.3888317150655,fixed,left
treatment,-763.3888317150655,fixed,right
treatment,-171.38883171506552,variable,left
treatment,-547.3888317150655,fixed,left
treatment,-872.3888317150655,variable,right
treatment,-480.3888317150655,variable,left
treatment,-766.3888317150655,fixed,right
treatment,-882.3888317150655,variable,right
treatment,-704.3888317150655,fixed,left
treatment,-197.38883171506552,variable,left
treatment,-396.3888317150655,fixed,right
treatment,-822.3888317150655,variable,right
treatment,-354.3888317150655,fixed,left
treatment,-632.3888317150655,fixed,right
treatment,-263.3888317150655,variable,left
treatment,-89.38883171506552,fixed,left
treatment,-873.3888317150655,variable,right
treatment,-536.3888317150655,variable,left
treatment,-662.3888317150655,fixed,right
treatment,-449.3888317150655,fixed,left
treatment,-817.3888317150655,variable,right
treatment,-498.3888317150655,fixed,right
treatment,-667.3888317150655,variable,left
treatment,130.61116828493448,fixed,left
treatment,-815.3888317150655,variable,right
treatment,-864.969696969697,fixed,left
treatment,-1175.969696969697,variable,right
treatment,-1089.969696969697,fixed,right
treatment,-1141.969696969697,variable,left
treatment,-1177.969696969697,variable,right
treatment,-911.969696969697,fixed,left
treatment,-596.969696969697,fixed,right
treatment,-929.969696969697,variable,left
treatment,-1120.969696969697,variable,right
treatment,-1013.969696969697,fixed,left
treatment,-1189.969696969697,variable,left
treatment,-691.969696969697,fixed,right
treatment,-711.969696969697,fixed,left
treatment,-1222.969696969697,variable,right
treatment,-516.969696969697,variable,left
treatment,402.030303030303,fixed,right
treatment,138.030303030303,fixed,left
treatment,-368.969696969697,variable,right
treatment,-779.969696969697,fixed,right
treatment,-361.969696969697,variable,left
treatment,-221.969696969697,fixed,left
treatment,-1142.969696969697,variable,right
treatment,-144.969696969697,fixed,right
treatment,-992.969696969697,variable,left
treatment,-1166.969696969697,variable,right
treatment,-648.969696969697,fixed,left
treatment,-819.969696969697,variable,left
treatment,-455.969696969697,fixed,right
treatment,-238.969696969697,fixed,left
treatment,-1239.969696969697,variable,right
